['describe history oil industry', 'economic well decades that important world oil history industry']
['pearl farming operations actual farming operations described culturing pearls japanese pearl productions status pearl farming production', 'crop diamond particular mainly farmers harvest making natural producing freshwater operations harvesting agriculture cultivation production farm farms agricultural pearls pearl farming']
['goals political views green party', 'social way ideas democratic agenda parties politics goals party political']
['identify efforts proposed undertaken world governments seek reduction iraqs foreign debt', 'governmental policy policies foreign countries initiatives concern concerned financial establish significant seek economic efforts government governments']
['methods control type ii diabetes', 'specific disease controlling types associated method diabetes methods control type']
['evidence aspirin help prevent cancer', 'drugs evidence patients aspirin preventing disease cause risk prevent cancer']
['sources slate stone decorative', 'tiles brick tile stones granite marble slate decorative stone']
['limits regulations concerning jockey weight horse racing', 'laws weight limit rider certain race horses rules limits regulations horse racing']
['security measures employed train stations due heightened security concerns', 'ensure safety personnel enforcement certain government significant necessary authorities increasing concerned concern concerns security']
['actual examples pyramid schemes', 'various different particular example scheme pyramid actual schemes examples']
['state maryland clean chesapeake bay', 'michigan chesapeake oregon california washington ohio carolina florida virginia maryland']
['restrictions placed older persons renewing drivers licenses', 'require requiring individuals those drivers permits persons license certain permit restrictions licenses']
['organizations private governmental developing drugs combat schizophrenia', 'agencies significant develop involved governments drugs institutions drug governmental developing individuals organizations']
['spammers arrested sued sending unsolicited e mail', 'email send spammers sent mails e-mail unsolicited spam emails e-mails sending mail']
['ways iran support terrorism', 'iraq Iran terror war support iran terrorists terrorist terrorism']
['governments definition executive privilege', 'corporate executive responsibility corporations privilege governmental authority governments government']
['iran contra scandal consequences', 'corruption war scandals crisis terrorism repercussions consequences scandal iran']
['cause lowered white blood cell count', 'because count causes even causing when cells normal cell cause blood']
['identify specific instances church arson', 'appropriate determine identifying certain whether identified particular instances specific identify']
['revelations whistle blowers concerning department defense', 'matters regarding concern department whistle prosecution investigations concerned investigation concerning defense']
['possible complications potential dangers gastric bypass surgery', 'patients possibility bypass possible surgeries potentially risk complication gastric risks surgery complications']
['regulations regarding airline overbooking', 'policies requirements rules overbooking restrictions regarding regulations airlines airline']
['condition afghan women better new government taliban', 'way better not that even but they country people because women government']
['allegations made enrons culpability california energy crisis', 'claims responsibility situation concerned allegations economic financial consequences concerns government concern crisis']
['examples anthrax hoaxes', 'smallpox frauds viruses bioterrorism examples hoax anthrax hoaxes']
['organization habitat humanity activities involved', 'community importance responsibility involvement organizations responsible efforts organization involved activities']
['regulates assisted living facilities maryland', 'residential maryland services providing health centers living facility assisted facilities']
['artificial intelligence', 'scientific artifical biological perception human artificial intelligence']
['regulations considerations concerning registering freighter country', 'consideration considerations relating requirements concern regard concerned regarding concerns concerning regulations']
['identify doomsday cult name location world', 'names place what that there particular same cult name where world']
['jobs outsourced india', 'bangalore mumbai job outsource india outsourced outsourcing jobs']
['control oversight computer public libraries', 'government system programs governmental oversight library libraries computer control public']
['people puerto rico state', 'americans dominican state rica florida america mexico rico puerto']
['senator john edwards positions womens issues pay equity abortion title ix violence women', 'employment policy government public state concerned violence justice issues marriage politics education civil law health political abortion women']
['give information scrabble players scrabble played popular', 'poker other even chess scrabble played player playing games game players play']
['dams removed environmental impact', 'concerns concern ecological significant dams pollution impact impacts environmental']
['programs schools prevent bullying students', 'teaching classroom student educational programs teachers school education students schools']
['history location scottish highland games united states', 'scotland west western irish america highland england american country scottish history united']
['show examples murals', 'exhibit illustrate mural paintings shows show examples murals']
['statistics regarding american muslims mosques schools', 'americans people universities Muslims religion islamic mosques religious muslim schools muslims']
['describe problems faced hmong immigrants united states', 'understand faced immigration immigrant nation united concerned country people citizens states immigrants']
['give information human deaths associated hunting game', 'because particular people important even certain there those possible other human that']
['state kyrgyzstan united states relations', 'nations laws country government democratic nation relations united state states']
['deformities found leopard frogs', 'reptiles turtles deformities amphibians leopard lizards snakes frog frogs']
['rules guidelines display united states flag', 'united should policy flag regulations guidelines laws state rule states rules']
['magnet schools considered successful districts created', 'established district educational teachers universities successful considered education school districts schools']
['varieties oranges season', 'peaches tomatoes season apples fruit fruits varieties oranges']
['social security means test', 'important that critical necessary testing test means social security']
['pets animals therapy humans benefits', 'health therapy human pet cats dogs animal pets humans animals']
['reference notable cockers spaniels', 'beagles poodles terriers Spaniels spaniel retrievers cocker cockers spaniels']
['history development locations textile mills massachusetts', 'factories massachusetts industry mill manufacturing development history textile industrial industries mills']
['describe origin nature extent spread means controlling kudzu', 'fact describe necessarily rather that therefore means certain nature hence particular thus extent']
['impact volcano eruptions global temperature', 'impact earthquakes temperature warming climate volcanoes eruption volcano eruptions volcanic']
['describe resolutions proposed legislation passed ban cloning humans rationale bans', 'opposed prohibition restrictions bans prohibit oppose amendment proposal mandate proposing banning laws ban proposed legislation']
['doctors borders medecins sans frontieres', 'Frontières Médecins border Medecins frontières Frontieres doctors borders sans frontieres']
['information available involvement north korean government counterfeiting currency', 'monetary policy information exchange overseas country economic governments authorities financial currency foreign government']
['information regarding timeshare resales', 'estate property Timeshare regarding resale information timeshares resales timeshare']
['state recognizing handwritten inputs computers', 'recognition indicating identifying recognize computer state inputs recognizing computers input']
['conditions lead doctors recommend total knee replacement surgery complications result surgery', 'risk severe doctor procedure result injury pain medical patient doctors treatment surgical patients surgeries complications surgery']
